2.720833888320763894e-01,6.480310049809753226e-01,3.187342823920989776e+00,2.583937391523176848e+04,1.058369515682212068e+03,1.190172924767907858e+02
1.347422070882333678e-01,1.656208479016735513e+00,8.369096759933565721e+00,1.835399484911207037e+04,1.672942524533901178e+03,1.268171326036899131e+02
1.946948192292535240e-01,6.544961645007505435e-01,3.344002484985396872e+00,3.056657488601537261e+04,1.397963441855991732e+03,1.006646293306222333e+02
3.070149676738818667e-01,6.064830734976041082e-01,4.729559886803909485e+00,3.327164016478319536e+04,5.163519633994966398e+02,1.061623368688296836e+02
3.589056599523122171e-01,6.603439049350577905e-01,4.970532697622005891e+00,4.194752621428592101e+04,4.592907771331002209e+02,1.323670346509794911e+02
2.700655202398902777e-01,7.536654807713090154e-01,7.238509137018890094e+00,3.073582519817931461e+04,4.577564260030535479e+02,1.586158926469052233e+02
3.137326284250507302e-01,4.149423633004787337e-01,6.095059874007182188e+00,2.948912111461607492e+04,3.887394271033064683e+02,1.497567285447475456e+02
4.251760687015601614e-01,5.628245197201641181e-01,9.910192903591743985e+00,3.871949959072288766e+04,5.593512150961656744e+02,1.786102712111596986e+02
1.116491183516040042e+00,6.159761420583799163e-01,1.561274361544255918e+01,1.169779057313887170e+05,7.762238595026728945e+02,2.460581072547145425e+02
3.977571134709497525e+00,3.565903320036551971e-01,9.229823360303438307e+00,3.884299860606187140e+05,3.840979995901221855e+02,1.334440763156279672e+02
4.155873019442362981e+00,3.926115005591840901e-01,1.059859262955874470e+01,3.806271139757434139e+05,4.273965950349791569e+02,1.571861475951771467e+02
4.740815909080867030e+00,4.485365940525970485e-01,1.626892140136761000e+01,4.127437635194383911e+05,6.009333540926025989e+02,2.019044555972038779e+02
7.280792008277662930e+00,2.115348509568193425e-01,1.304787146486983040e+01,6.405370824590512784e+05,4.403422747106499173e+02,1.276757456697056199e+02
8.860885610347407848e+00,1.346969132832496197e-01,1.335426196237624374e+01,7.208877150387394940e+05,4.422664235775790758e+02,1.292101035481863391e+02
2.219070494233985968e+01,6.047925077074396416e-01,8.083947524967184961e+01,4.563169825247258414e+05,1.758285711066841714e+03,1.719317748625481670e+02
1.058676564618491432e-02,3.648506554993382611e+00,9.333055543315424529e+01,2.947722200433103126e+02,3.893209109105580410e+03,1.027195222242989416e+02